"Scenario","Year","share_LFP","Ni_Co_ratio","Cobalt","Copper","Lithium","Nickel","ev_Cobalt","ev_Copper","ev_Lithium","ev_Nickel"
"SPS_x0.82",2038,0.601899906075322,12.480649356085,271.445680543743,27613.2222552882,687.617840262773,2624.70697505658,114.170298661174,2293.2877445932,542.318105046344,1424.91946446962
"SPS_x0.82",2039,0.612477230191699,13.0210958900116,271.63960419754,27854.9218558291,726.067290688517,2701.49126140387,113.032008238929,2380.62533470649,575.450298661174,1471.80061791967
"SPS_x0.82",2040,0.621902861793097,13.5725383069118,271.833527851338,28096.62145637,764.516741114262,2778.27554775116,111.893717816684,2467.96292481977,608.582492276004,1518.68177136972
"SPS_x0.82",2041,0.625441763031324,13.4075870756404,277.790419671833,28388.9036250198,787.994572024093,2819.00864389617,115.897672502575,2508.82636457261,628.582162718847,1553.90813594233
"SPS_x0.82",2042,0.628762413141088,13.2536524964509,283.747311492327,28681.1857936697,811.472402933924,2859.74174004119,119.901627188466,2549.68980432544,648.581833161689,1589.13450051493
"SPS_x0.82",2043,0.631884398144225,13.1096665744622,289.704203312822,28973.4679623195,834.950233843756,2900.4748361862,123.905581874356,2590.55324407827,668.581503604531,1624.36086508754
"SPS_x0.82",2044,0.634825028577869,12.9746950406505,295.661095133317,29265.7501309693,858.428064753587,2941.20793233122,127.909536560247,2631.4166838311,688.581174047374,1659.58722966014
"SPS_x0.82",2045,0.637599660621846,12.8479170570233,301.617986953811,29558.0322996191,881.905895663418,2981.94102847623,131.913491246138,2672.28012358393,708.580844490216,1694.81359423275
"SPS_x0.82",2046,0.640359215961368,12.7634237147167,305.561494031486,29821.9159198484,898.274673903026,3020.66572914928,133.928403707518,2715.36972193615,720.156704428424,1709.38496395469
"SPS_x0.82",2047,0.643031460095519,12.6814350441088,309.505001109161,30085.7995400776,914.643452142634,3059.39042982232,135.943316168898,2758.45932028836,731.732564366632,1723.95633367662
"SPS_x0.82",2048,0.645620472228508,12.6018413012372,313.448508186836,30349.6831603068,931.012230382242,3098.11513049536,137.958228630278,2801.54891864058,743.30842430484,1738.52770339856
"SPS_x0.82",2049,0.648130081352439,12.524539061194,317.392015264511,30613.566780536,947.38100862185,3136.8398311684,139.973141091658,2844.63851699279,754.884284243048,1753.09907312049
"SPS_x0.82",2050,0.650563885142098,12.4494307697664,321.335522342186,30877.4504007653,963.749786861458,3175.56453184144,141.988053553038,2887.72811534501,766.460144181257,1767.67044284243
"SPS_x0.85",2025,0.553954468585675,5.39178886801834,200.785848568699,23382.6273437196,209.646638416373,1314.64362126443,67.3599188980432,577.832067456231,123.370494335736,363.190460865088
"SPS_x0.85",2026,0.554104248411984,5.79862848717167,214.034017716739,24038.0083043824,245.117169726671,1435.9384127828,78.2127754891864,733.657518022657,154.108187435633,453.526828012358
"SPS_x0.85",2027,0.55420421499582,6.10631937882742,227.282186864779,24693.3892650452,280.587701036968,1557.23320430117,89.0656320803296,889.482968589083,184.84588053553,543.863195159629
"SPS_x0.85",2028,0.554275675305988,6.34716928507714,240.530356012819,25348.770225708,316.058232347265,1678.52799581954,99.9184886714727,1045.30841915551,215.583573635427,634.1995623069
"SPS_x0.85",2029,0.554329300980016,6.54082450417522,253.778525160859,26004.1511863708,351.528763657562,1799.82278733792,110.771345262616,1201.13386972194,246.321266735324,724.535929454171
"SPS_x0.85",2030,0.554371027890608,6.69991896498729,267.026694308899,26659.5321470336,386.999294967859,1921.11757885629,121.624201853759,1356.95932028836,277.058959835221,814.872296601442
"SPS_x0.85",2031,0.556210403999385,7.54232774275804,269.487036798479,26873.3011799454,427.630018077555,2030.72959951306,121.551302780639,1504.51791967044,312.999732234809,916.779763130793
"SPS_x0.85",2032,0.557670869679565,8.38574757792195,271.947379288059,27087.0702128572,468.260741187251,2140.34162016984,121.478403707518,1652.07651905252,348.940504634398,1018.68722966014
