panel,cat,water_impact_B,cost_B
b,"Demand
>1,100 Mt",4365.469817967462,5430.11834210102
b,"Demand
>1,100 Mt",3842.730768288297,5688.695406010621
b,"Demand
>1,100 Mt",3487.617266220182,6464.426597739316
b,"Demand
<1,000 Mt",4180.320373735627,2108.7950314099776
b,"Demand
<1,000 Mt",3198.465271763097,2129.8829817240808
b,"Demand
<1,000 Mt",2443.618636834521,2214.234782980463
b,"Demand
<1,000 Mt",1843.5774062207236,2319.674534550976
b,"Demand
<1,000 Mt",1032.2220655335827,2635.993789262464
b,"Demand
<1,000 Mt",5845.953515970037,4655.673228104613
b,"Demand
<1,000 Mt",5494.005637011387,4702.2299603856445
b,"Demand
<1,000 Mt",4633.495720008156,4888.456889509823
b,"Demand
<1,000 Mt",3999.715110197244,5121.24055091503
b,"Demand
<1,000 Mt",2906.2414704332605,5819.591535130728
b,"Demand
>1,100 Mt",7341.742428034446,6087.939106119404
b,"Demand
>1,100 Mt",6478.7378780550625,6148.818497180572
b,"Demand
>1,100 Mt",5672.10601566483,6392.336061425334
b,"Demand
>1,100 Mt",5234.544260422819,6696.733016731305
b,"Demand
>1,100 Mt",4964.081498916835,7609.923882649204
b,"Demand
>1,100 Mt",5667.354947078253,5090.035441855941
b,"Demand
>1,100 Mt",5013.759192037632,5140.935796274497
b,"Demand
>1,100 Mt",3920.9432941383016,5344.537213948731
b,"Demand
>1,100 Mt",3326.6583359731458,5599.038986041517
b,"Demand
>1,100 Mt",2113.830465088569,6362.544302319906
b,"Demand
<1,000 Mt",4134.059277535406,5735.133745553114
b,"Demand
<1,000 Mt",3380.4716645228978,5792.485083008653
b,"Demand
<1,000 Mt",2718.3453933190463,6021.890432830754
b,"Demand
<1,000 Mt",2355.3548389249813,6308.647120108436
b,"Demand
<1,000 Mt",1782.2592732732355,7168.917181941428
b,"Demand
>1,100 Mt",5048.800401497577,4421.461496034795
b,"Demand
>1,100 Mt",4453.5921396270505,4465.676110995148
b,"Demand
>1,100 Mt",4083.543646026658,4642.534570836548
b,"Demand
>1,100 Mt",3479.5791477338694,4863.607645638315
b,"Demand
>1,100 Mt",3083.058348320171,5526.826870043515
b,"Demand
<1,000 Mt",5042.6390990233795,4774.015374308713
b,"Demand
<1,000 Mt",4197.010166403653,4821.755528051825
b,"Demand
<1,000 Mt",3222.537876439918,5012.716143024156
b,"Demand
<1,000 Mt",2708.164932459796,5251.4169117395995
b,"Demand
<1,000 Mt",1928.4219546257873,5967.519217885852
b,"Demand
<1,000 Mt",5114.534690569749,3015.455493524219
b,"Demand
<1,000 Mt",4737.316547012434,3045.610048459482
b,"Demand
<1,000 Mt",4141.241543764956,3166.2282682004397
b,"Demand
<1,000 Mt",3404.804777618859,3317.001042876641
b,"Demand
<1,000 Mt",2548.996778750967,3769.319366905279
b,"Demand
>1,100 Mt",6698.102745550318,4778.14384681863
b,"Demand
>1,100 Mt",5917.480164517657,4825.925285286797
